Period,Group Channel,Group Unit Business,Target,MTD Target,Estimated Revenue (IDR),Estimated Closing (IDR)
2026-07,3-FTA,GTV,"118,405,799","80,210,380","78,133,711","115,340,240"
2026-07,3-FTA,MNCTV,"226,448,683","153,400,721","156,818,831","231,494,465"
2026-07,3-FTA,RCTI,"1,322,343,176","895,780,861","557,008,930","822,251,277"
2026-07,IMG Group,IDX,"63,872,776","43,268,655","37,408,153","55,221,559"
2026-07,IMG Group,iNews,"848,275,278","574,638,092","471,175,269","695,544,445"
2026-07,IMG Group,Okezone,"107,201,675","72,620,490","71,274,674","105,214,995"
2026-07,IMG Group,Sindo,"225,733,609","152,916,316","151,331,658","223,394,352"
2026-07,Others Unit,AMP,"9,450,000","6,401,613","2,801,266","4,135,202"
2026-07,Others Unit,HighEnd Magazine,"70,000","47,419","68,061","100,471"
2026-07,Others Unit,MNC Animation,"25,970,000","17,592,581","23,283,510","34,370,896"
2026-07,Others Unit,MNC Channels,"3,290,000","2,228,710","5,980,080","8,827,737"
2026-07,Others Unit,MNC Content,"130,760,000","88,579,355","74,562,683","110,068,723"
2026-07,Others Unit,MNC Pictures,"57,470,000","38,931,290","131,283,499","193,799,450"
2026-07,Others Unit,RCTI+,"37,100,000","25,132,258","8,071,526","11,915,111"
2026-07,Others Unit,StarPro,"59,220,000","40,116,774","18,453,020","27,240,172"
2026-07,Others Unit,Vision+,"32,200,000","21,812,903","9,903,713","14,619,767"
2026-07,StarHits,StarHits (External),"2,255,132,501","1,527,670,404","3,260,555,516","4,813,201,000"
2026-07,StarHits,StarHits (Internal),"1,503,423,666","1,018,448,290","1,141,063,573","1,684,427,179"
2026-07,UGC,UGC,0,0,"46,717,937","68,964,573"
2026-06,3-FTA,GTV,"120,466,667","120,466,667","150,553,240","150,553,240"
2026-06,3-FTA,MNCTV,"207,933,333","207,933,333","258,543,272","258,543,272"
2026-06,3-FTA,RCTI,"1,266,466,667","1,266,466,667","827,887,833","827,887,833"
2026-06,IMG Group,IDX,"32,372,167","32,372,167","54,250,266","54,250,266"
2026-06,IMG Group,iNews,"742,169,273","742,169,273","677,356,330","677,356,330"
2026-06,IMG Group,Okezone,"61,258,100","61,258,100","102,270,970","102,270,970"
2026-06,IMG Group,Sindo,"160,267,127","160,267,127","232,401,028","232,401,028"
2026-06,Others Unit,AMP,"9,000,000","9,000,000","5,900,637","5,900,637"
2026-06,Others Unit,HighEnd Magazine,"66,667","66,667","165,152","165,152"
2026-06,Others Unit,MNC Animation,"24,733,333","24,733,333","39,033,237","39,033,237"
2026-06,Others Unit,MNC Channels,"3,133,333","3,133,333","16,193,525","16,193,525"
2026-06,Others Unit,MNC Content,"124,533,333","124,533,333","106,975,158","106,975,158"
2026-06,Others Unit,MNC Pictures,"54,733,333","54,733,333","193,176,167","193,176,167"
2026-06,Others Unit,RCTI+,"35,333,333","35,333,333","13,230,252","13,230,252"
2026-06,Others Unit,StarPro,"56,400,000","56,400,000","31,965,053","31,965,053"
2026-06,Others Unit,Vision+,"30,666,667","30,666,667","12,182,881","12,182,881"
2026-06,StarHits,StarHits (External),"1,944,666,667","1,944,666,667","5,149,150,876","5,149,150,876"
2026-06,StarHits,StarHits (Internal),"1,792,600,000","1,792,600,000","1,882,452,049","1,882,452,049"
2026-06,UGC,UGC,0,0,"32,646,357","32,646,357"
2026-05,3-FTA,GTV,"120,466,667","120,466,667","120,482,399","120,482,399"
2026-05,3-FTA,MNCTV,"207,933,333","207,933,333","210,361,452","210,361,452"
2026-05,3-FTA,RCTI,"1,266,466,667","1,266,466,667","605,101,171","605,101,171"
2026-05,IMG Group,IDX,0,0,0,0
2026-05,IMG Group,iNews,"996,066,667","996,066,667","1,101,361,983","1,101,361,983"
2026-05,IMG Group,Okezone,0,0,0,0
2026-05,IMG Group,Sindo,0,0,0,0
2026-05,Others Unit,AMP,0,0,0,0
2026-05,Others Unit,HighEnd Magazine,0,0,0,0
2026-05,Others Unit,MNC Animation,0,0,0,0
2026-05,Others Unit,MNC Channels,0,0,0,0
2026-05,Others Unit,MNC Content,0,0,0,0
2026-05,Others Unit,MNC Pictures,0,0,0,0
2026-05,Others Unit,RCTI+,0,0,0,0
2026-05,Others Unit,StarPro,0,0,0,0
2026-05,Others Unit,Vision+,0,0,0,0
2026-05,StarHits,StarHits (External),"1,944,666,667","1,944,666,667","1,630,980,807","1,630,980,807"
2026-05,StarHits,StarHits (Internal),"2,131,199,999","1,792,600,000","1,213,421,866","1,213,421,866"
2026-05,UGC,UGC,0,0,0,0
2026-04,3-FTA,GTV,"120,466,667","120,466,667","100,496,271","100,496,271"
2026-04,3-FTA,MNCTV,"207,933,333","207,933,333","200,007,899","200,007,899"
2026-04,3-FTA,RCTI,"1,266,466,667","1,266,466,667","590,745,915","590,745,915"
2026-04,IMG Group,IDX,0,0,0,0
2026-04,IMG Group,iNews,"996,066,667","996,066,667","1,204,721,438","1,204,721,438"
2026-04,IMG Group,Okezone,0,0,0,0
2026-04,IMG Group,Sindo,0,0,0,0
2026-04,Others Unit,AMP,0,0,0,0
2026-04,Others Unit,HighEnd Magazine,0,0,0,0
2026-04,Others Unit,MNC Animation,0,0,0,0
2026-04,Others Unit,MNC Channels,0,0,0,0
2026-04,Others Unit,MNC Content,0,0,0,0
2026-04,Others Unit,MNC Pictures,0,0,0,0
2026-04,Others Unit,RCTI+,0,0,0,0
2026-04,Others Unit,StarPro,0,0,0,0
2026-04,Others Unit,Vision+,0,0,0,0
2026-04,StarHits,StarHits (External),"1,944,666,667","1,944,666,667","1,267,991,574","1,267,991,574"
2026-04,StarHits,StarHits (Internal),"2,131,199,999","1,792,600,000","419,455,239","419,455,239"
2026-04,UGC,UGC,0,0,0,0
2026-03,3-FTA,GTV,0,0,0,0
2026-03,3-FTA,MNCTV,0,0,0,0
2026-03,3-FTA,RCTI,0,0,0,0
2026-03,IMG Group,IDX,0,0,0,0
2026-03,IMG Group,iNews,0,0,0,0
2026-03,IMG Group,Okezone,0,0,0,0
2026-03,IMG Group,Sindo,0,0,0,0
2026-03,Others Unit,AMP,0,0,0,0
2026-03,Others Unit,HighEnd Magazine,0,0,0,0
2026-03,Others Unit,MNC Animation,0,0,0,0
2026-03,Others Unit,MNC Channels,0,0,0,0
2026-03,Others Unit,MNC Content,0,0,0,0
2026-03,Others Unit,MNC Pictures,0,0,0,0
2026-03,Others Unit,RCTI+,0,0,0,0
2026-03,Others Unit,StarPro,0,0,0,0
2026-03,Others Unit,Vision+,0,0,0,0
2026-03,StarHits,StarHits (External),0,0,0,0
2026-03,StarHits,StarHits (Internal),0,0,0,0
2026-03,UGC,UGC,0,0,0,0
2026-02,3-FTA,GTV,0,0,0,0
2026-02,3-FTA,MNCTV,0,0,0,0
2026-02,3-FTA,RCTI,0,0,0,0
2026-02,IMG Group,IDX,0,0,0,0
2026-02,IMG Group,iNews,0,0,0,0
2026-02,IMG Group,Okezone,0,0,0,0
2026-02,IMG Group,Sindo,0,0,0,0
2026-02,Others Unit,AMP,0,0,0,0
2026-02,Others Unit,HighEnd Magazine,0,0,0,0
2026-02,Others Unit,MNC Animation,0,0,0,0
2026-02,Others Unit,MNC Channels,0,0,0,0
2026-02,Others Unit,MNC Content,0,0,0,0
2026-02,Others Unit,MNC Pictures,0,0,0,0
2026-02,Others Unit,RCTI+,0,0,0,0
2026-02,Others Unit,StarPro,0,0,0,0
2026-02,Others Unit,Vision+,0,0,0,0
2026-02,StarHits,StarHits (External),0,0,0,0
2026-02,StarHits,StarHits (Internal),0,0,0,0
2026-02,UGC,UGC,0,0,0,0
2026-01,3-FTA,GTV,0,0,0,0
2026-01,3-FTA,MNCTV,0,0,0,0
2026-01,3-FTA,RCTI,0,0,0,0
2026-01,IMG Group,IDX,0,0,0,0
2026-01,IMG Group,iNews,0,0,0,0
2026-01,IMG Group,Okezone,0,0,0,0
2026-01,IMG Group,Sindo,0,0,0,0
2026-01,Others Unit,AMP,0,0,0,0
2026-01,Others Unit,HighEnd Magazine,0,0,0,0
2026-01,Others Unit,MNC Animation,0,0,0,0
2026-01,Others Unit,MNC Channels,0,0,0,0
2026-01,Others Unit,MNC Content,0,0,0,0
2026-01,Others Unit,MNC Pictures,0,0,0,0
2026-01,Others Unit,RCTI+,0,0,0,0
2026-01,Others Unit,StarPro,0,0,0,0
2026-01,Others Unit,Vision+,0,0,0,0
2026-01,StarHits,StarHits (External),0,0,0,0
2026-01,StarHits,StarHits (Internal),0,0,0,0
2026-01,UGC,UGC,0,0,0,0
2025-12,3-FTA,GTV,0,0,0,0
2025-12,3-FTA,MNCTV,0,0,0,0
2025-12,3-FTA,RCTI,0,0,0,0
2025-12,IMG Group,IDX,0,0,0,0
2025-12,IMG Group,iNews,0,0,0,0
2025-12,IMG Group,Okezone,0,0,0,0
2025-12,IMG Group,Sindo,0,0,0,0
2025-12,Others Unit,AMP,0,0,0,0
2025-12,Others Unit,HighEnd Magazine,0,0,0,0
2025-12,Others Unit,MNC Animation,0,0,0,0
2025-12,Others Unit,MNC Channels,0,0,0,0
2025-12,Others Unit,MNC Content,0,0,0,0
2025-12,Others Unit,MNC Pictures,0,0,0,0
2025-12,Others Unit,RCTI+,0,0,0,0
2025-12,Others Unit,StarPro,0,0,0,0
2025-12,Others Unit,Vision+,0,0,0,0
2025-12,StarHits,StarHits (External),0,0,0,0
2025-12,StarHits,StarHits (Internal),0,0,0,0
2025-12,UGC,UGC,0,0,0,0
2025-11,3-FTA,GTV,0,0,0,0
2025-11,3-FTA,MNCTV,0,0,0,0
2025-11,3-FTA,RCTI,0,0,0,0
2025-11,IMG Group,IDX,0,0,0,0
2025-11,IMG Group,iNews,0,0,0,0
2025-11,IMG Group,Okezone,0,0,0,0
2025-11,IMG Group,Sindo,0,0,0,0
2025-11,Others Unit,AMP,0,0,0,0
2025-11,Others Unit,HighEnd Magazine,0,0,0,0
2025-11,Others Unit,MNC Animation,0,0,0,0
2025-11,Others Unit,MNC Channels,0,0,0,0
2025-11,Others Unit,MNC Content,0,0,0,0
2025-11,Others Unit,MNC Pictures,0,0,0,0
2025-11,Others Unit,RCTI+,0,0,0,0
2025-11,Others Unit,StarPro,0,0,0,0
2025-11,Others Unit,Vision+,0,0,0,0
2025-11,StarHits,StarHits (External),0,0,0,0
2025-11,StarHits,StarHits (Internal),0,0,0,0
2025-11,UGC,UGC,0,0,0,0
2025-10,3-FTA,GTV,0,0,0,0
2025-10,3-FTA,MNCTV,0,0,0,0
2025-10,3-FTA,RCTI,0,0,0,0
2025-10,IMG Group,IDX,0,0,0,0
2025-10,IMG Group,iNews,0,0,0,0
2025-10,IMG Group,Okezone,0,0,0,0
2025-10,IMG Group,Sindo,0,0,0,0
2025-10,Others Unit,AMP,0,0,0,0
2025-10,Others Unit,HighEnd Magazine,0,0,0,0
2025-10,Others Unit,MNC Animation,0,0,0,0
2025-10,Others Unit,MNC Channels,0,0,0,0
2025-10,Others Unit,MNC Content,0,0,0,0
2025-10,Others Unit,MNC Pictures,0,0,0,0
2025-10,Others Unit,RCTI+,0,0,0,0
2025-10,Others Unit,StarPro,0,0,0,0
2025-10,Others Unit,Vision+,0,0,0,0
2025-10,StarHits,StarHits (External),0,0,0,0
2025-10,StarHits,StarHits (Internal),0,0,0,0
2025-10,UGC,UGC,0,0,0,0
2025-09,3-FTA,GTV,0,0,0,0
2025-09,3-FTA,MNCTV,0,0,0,0
2025-09,3-FTA,RCTI,0,0,0,0
2025-09,IMG Group,IDX,0,0,0,0
2025-09,IMG Group,iNews,0,0,0,0
2025-09,IMG Group,Okezone,0,0,0,0
2025-09,IMG Group,Sindo,0,0,0,0
2025-09,Others Unit,AMP,0,0,0,0
2025-09,Others Unit,HighEnd Magazine,0,0,0,0
2025-09,Others Unit,MNC Animation,0,0,0,0
2025-09,Others Unit,MNC Channels,0,0,0,0
2025-09,Others Unit,MNC Content,0,0,0,0
2025-09,Others Unit,MNC Pictures,0,0,0,0
2025-09,Others Unit,RCTI+,0,0,0,0
2025-09,Others Unit,StarPro,0,0,0,0
2025-09,Others Unit,Vision+,0,0,0,0
2025-09,StarHits,StarHits (External),0,0,0,0
2025-09,StarHits,StarHits (Internal),0,0,0,0
2025-09,UGC,UGC,0,0,0,0
2025-08,3-FTA,GTV,0,0,0,0
2025-08,3-FTA,MNCTV,0,0,0,0
2025-08,3-FTA,RCTI,0,0,0,0
2025-08,IMG Group,IDX,0,0,0,0
2025-08,IMG Group,iNews,0,0,0,0
2025-08,IMG Group,Okezone,0,0,0,0
2025-08,IMG Group,Sindo,0,0,0,0
